02/07/2026 17:23:01 | INFO | Sistema Software FJ iniciado.
02/07/2026 17:23:01 | CRITICAL | Error crítico al iniciar el sistema: 'Dashboard' object has no attribute 'lbl_servicios'
02/07/2026 17:31:45 | INFO | Sistema Software FJ iniciado.
02/07/2026 17:32:18 | INFO | Cliente registrado: Daniel Lopez
02/07/2026 17:32:18 | INFO | Cliente registrado.
02/07/2026 17:32:44 | INFO | Servicio Reserva de Sala creado.
02/07/2026 17:32:44 | INFO | Servicio registrado.
02/07/2026 17:33:02 | INFO | Reserva 001 creada correctamente.
02/07/2026 17:33:03 | INFO | Reserva registrada.
02/07/2026 17:33:19 | INFO | Reserva 001 confirmada.
02/07/2026 17:33:19 | INFO | Reserva confirmada.
02/07/2026 17:34:49 | INFO | Cliente registrado: Daniel Lopez Martinez
02/07/2026 17:34:49 | INFO | Cliente actualizado.
02/07/2026 17:35:02 | ERROR | invalid literal for int() with base 10: ''
02/07/2026 17:35:12 | INFO | Reserva 001 creada correctamente.
02/07/2026 17:35:13 | INFO | Reserva registrada.
02/07/2026 17:35:19 | ERROR | No se puede cancelar una reserva confirmada.
02/07/2026 17:35:19 | ERROR | No se puede cancelar una reserva confirmada.
02/07/2026 17:35:21 | INFO | Reserva eliminada.
02/07/2026 17:35:27 | ERROR | No se puede cancelar una reserva confirmada.
02/07/2026 17:35:27 | ERROR | No se puede cancelar una reserva confirmada.
02/07/2026 17:35:29 | INFO | Reserva eliminada.
02/07/2026 17:35:42 | INFO | Reserva 001 confirmada.
02/07/2026 17:35:42 | INFO | Reserva confirmada.
02/07/2026 17:37:52 | INFO | Sistema Software FJ iniciado.
